Item	Subject	Block	Stimuli	Context	Correct	Response	RT	RT_log	Lg_Heard	Main_Context	Group
A289	BE_03	Block4	Stim34	E	1	ML	223	2.348304863	Eng	ML	nonsw
A290	BE_06	Block4	Stim15	E	1	ML	581	2.764176132	Eng	ML	supsw
A291	BE_03	Block4	Stim35	E	1	ML	811	2.909020854	Eng	ML	nonsw
A292	BE_06	Block4	Stim16	E	1	ML	963	2.983626287	Eng	ML	supsw
A293	BE_03	Block4	Stim37	E	1	ML	251	2.399673721	Eng	ML	nonsw
A294	BE_06	Block4	Stim37	E	1	ML	552	2.741939078	Eng	ML	supsw
A295	BE_03	Block4	Stim38	E	1	ML	706	2.848804701	Eng	ML	nonsw
A296	BE_06	Block4	Stim38	E	1	ML	589	2.770115295	Eng	ML	supsw
A297	BE_03	Block4	Stim39	E	1	ML	1257	3.099335278	Eng	ML	nonsw
A298	BE_06	Block4	Stim39	E	1	ML	621	2.7930916	Eng	ML	supsw
A299	BE_03	Block4	Stim40	E	1	ML	795	2.900367129	Eng	ML	nonsw
A300	BE_06	Block4	Stim40	E	1	ML	326	2.5132176	Eng	ML	supsw
A301	BE_03	Block4	Stim10	S	1	ML	371	2.56937391	Sp	ML	nonsw
A302	BE_06	Block4	Stim11	S	0	CS	3461	3.539201599	Sp	ML	supsw
A303	BE_03	Block4	Stim11	S	1	ML	2289	3.359645793	Sp	ML	nonsw
