"Item"	"Subject"	"Block"	"Stimuli"	"Context"	"Correct"	"Response"	"RT"	"RT_log"	"Lg_Heard"	"Main_Context"	"Group"
"147"	"A147"	"BE_03"	"Block2"	"Stim19"	"S"	1	"ML"	429	2.632457292	"Sp"	"ML"	"nonsw"
"148"	"A148"	"BE_06"	"Block2"	"Stim31"	"S"	0	"CS"	1264	3.101747074	"Sp"	"ML"	"supsw"
"149"	"A149"	"BE_03"	"Block2"	"Stim20"	"S"	1	"ML"	416	2.619093331	"Sp"	"ML"	"nonsw"
"150"	"A150"	"BE_06"	"Block2"	"Stim07"	"S"	0	"CS"	1739	3.240299582	"Sp"	"ML"	"supsw"
"151"	"A151"	"BE_03"	"Block2"	"Stim25"	"S"	1	"ML"	438	2.641474111	"Sp"	"ML"	"nonsw"
"152"	"A152"	"BE_06"	"Block2"	"Stim09"	"S"	0	"CS"	2037	3.308991029	"Sp"	"ML"	"supsw"
"153"	"A153"	"BE_03"	"Block2"	"Stim31"	"S"	1	"ML"	563	2.750508395	"Sp"	"ML"	"nonsw"
"154"	"A154"	"BE_06"	"Block2"	"Stim10"	"S"	1	"ML"	1013	3.005609445	"Sp"	"ML"	"supsw"
"155"	"A155"	"BE_03"	"Block2"	"Stim07"	"S"	1	"ML"	870	2.939519253	"Sp"	"ML"	"nonsw"
"156"	"A156"	"BE_06"	"Block2"	"Stim20"	"S"	1	"ML"	1451	3.161667412	"Sp"	"ML"	"supsw"
"157"	"A157"	"BE_03"	"Block2"	"Stim08"	"S"	1	"ML"	2012	3.303627976	"Sp"	"ML"	"nonsw"
"158"	"A158"	"BE_06"	"Block2"	"Stim25"	"S"	1	"ML"	789	2.897077003	"Sp"	"ML"	"supsw"
"159"	"A159"	"BE_03"	"Block2"	"Stim09"	"S"	1	"ML"	288	2.459392488	"Sp"	"ML"	"nonsw"
"160"	"A160"	"BE_06"	"Block2"	"Stim08"	"S"	1	"ML"	874	2.941511433	"Sp"	"ML"	"supsw"
