Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context	Group
A201	BE_04	Block2	Stim01	CSES	0	ML	368	Eng	CS	nonsw
A202	BE_04	Block2	Stim17	CSES	0	ML	1243	Eng	CS	nonsw
A203	BE_04	Block2	Stim02	CSES	0	ML	296	Eng	CS	nonsw
A204	BE_04	Block2	Stim21	CSES	0	ML	387	Eng	CS	nonsw
A205	BE_04	Block2	Stim26	CSES	0	ML	1042	Eng	CS	nonsw
A206	BE_04	Block2	Stim27	CSES	0	ML	616	Eng	CS	nonsw
A207	BE_04	Block2	Stim28	CSES	0	ML	512	Eng	CS	nonsw
A208	BE_04	Block2	Stim29	CSES	0	ML	945	Eng	CS	nonsw
A209	BE_04	Block2	Stim03	CSES	0	ML	364	Eng	CS	nonsw
A210	BE_04	Block2	Stim32	CSES	0	ML	377	Eng	CS	nonsw
A241	BE_04	Block3	Stim01	CSES	0	ML	766	Eng	CS	nonsw
A242	BE_04	Block3	Stim17	CSES	0	ML	998	Eng	CS	nonsw
A243	BE_04	Block3	Stim02	CSES	0	ML	216	Eng	CS	nonsw
A244	BE_04	Block3	Stim21	CSES	0	ML	934	Eng	CS	nonsw
A245	BE_04	Block3	Stim26	CSES	0	ML	1647	Eng	CS	nonsw
A246	BE_04	Block3	Stim27	CSES	0	ML	969	Eng	CS	nonsw
A247	BE_04	Block3	Stim28	CSES	0	ML	1450	Eng	CS	nonsw
A248	BE_04	Block3	Stim29	CSES	0	ML	648	Eng	CS	nonsw
A249	BE_04	Block3	Stim03	CSES	0	ML	1113	Eng	CS	nonsw
A250	BE_04	Block3	Stim32	CSES	0	ML	785	Eng	CS	nonsw
A281	BE_04	Block4	Stim01	CSES	0	ML	392	Eng	CS	nonsw
A282	BE_04	Block4	Stim17	CSES	0	ML	290	Eng	CS	nonsw
A283	BE_04	Block4	Stim02	CSES	0	ML	1263	Eng	CS	nonsw
A284	BE_04	Block4	Stim21	CSES	0	ML	270	Eng	CS	nonsw
A285	BE_04	Block4	Stim26	CSES	0	ML	1158	Eng	CS	nonsw
A286	BE_04	Block4	Stim27	CSES	0	ML	720	Eng	CS	nonsw
A287	BE_04	Block4	Stim28	CSES	0	ML	849	Eng	CS	nonsw
A288	BE_04	Block4	Stim29	CSES	0	ML	1048	Eng	CS	nonsw
A289	BE_04	Block4	Stim03	CSES	0	ML	330	Eng	CS	nonsw
A290	BE_04	Block4	Stim32	CSES	0	ML	946	Eng	CS	nonsw
A321	BE_05	Block1	Stim01	CSES	0	ML	3496	Eng	CS	nonsw
A322	BE_05	Block1	Stim17	CSES	0	ML	381	Eng	CS	nonsw
A323	BE_05	Block1	Stim02	CSES	0	ML	2060	Eng	CS	nonsw
A324	BE_05	Block1	Stim21	CSES	0	ML	4137	Eng	CS	nonsw
A325	BE_05	Block1	Stim26	CSES	0	ML	1496	Eng	CS	nonsw
A326	BE_05	Block1	Stim27	CSES	0	ML	495	Eng	CS	nonsw
A327	BE_05	Block1	Stim28	CSES	0	ML	724	Eng	CS	nonsw
A328	BE_05	Block1	Stim29	CSES	0	ML	797	Eng	CS	nonsw
A329	BE_05	Block1	Stim03	CSES	0	ML	677	Eng	CS	nonsw
A330	BE_05	Block1	Stim32	CSES	0	ML	368	Eng	CS	nonsw
A361	BE_05	Block2	Stim01	CSES	0	ML	827	Eng	CS	nonsw
A362	BE_05	Block2	Stim17	CSES	0	ML	3063	Eng	CS	nonsw
A363	BE_05	Block2	Stim02	CSES	0	ML	400	Eng	CS	nonsw
A364	BE_05	Block2	Stim21	CSES	0	ML	577	Eng	CS	nonsw
A365	BE_05	Block2	Stim26	CSES	0	ML	487	Eng	CS	nonsw
A366	BE_05	Block2	Stim27	CSES	0	ML	1936	Eng	CS	nonsw
A368	BE_05	Block2	Stim29	CSES	0	ML	1215	Eng	CS	nonsw
A369	BE_05	Block2	Stim03	CSES	0	ML	354	Eng	CS	nonsw
A370	BE_05	Block2	Stim32	CSES	0	ML	608	Eng	CS	nonsw
A401	BE_05	Block3	Stim01	CSES	0	ML	295	Eng	CS	nonsw
A402	BE_05	Block3	Stim17	CSES	0	ML	3935	Eng	CS	nonsw
A403	BE_05	Block3	Stim02	CSES	0	ML	283	Eng	CS	nonsw
A404	BE_05	Block3	Stim21	CSES	0	ML	862	Eng	CS	nonsw
A405	BE_05	Block3	Stim26	CSES	0	ML	934	Eng	CS	nonsw
A406	BE_05	Block3	Stim27	CSES	0	ML	1510	Eng	CS	nonsw
A407	BE_05	Block3	Stim28	CSES	0	ML	330	Eng	CS	nonsw
A408	BE_05	Block3	Stim29	CSES	0	ML	1396	Eng	CS	nonsw
A409	BE_05	Block3	Stim03	CSES	0	ML	878	Eng	CS	nonsw
A410	BE_05	Block3	Stim32	CSES	0	ML	994	Eng	CS	nonsw
A441	BE_05	Block4	Stim01	CSES	0	ML	201	Eng	CS	nonsw
A442	BE_05	Block4	Stim17	CSES	0	ML	1066	Eng	CS	nonsw
A443	BE_05	Block4	Stim02	CSES	0	ML	2946	Eng	CS	nonsw
A444	BE_05	Block4	Stim21	CSES	0	ML	259	Eng	CS	nonsw
A445	BE_05	Block4	Stim26	CSES	0	ML	883	Eng	CS	nonsw
A446	BE_05	Block4	Stim27	CSES	0	ML	382	Eng	CS	nonsw
A447	BE_05	Block4	Stim28	CSES	0	ML	404	Eng	CS	nonsw
A448	BE_05	Block4	Stim29	CSES	0	ML	669	Eng	CS	nonsw
A449	BE_05	Block4	Stim03	CSES	0	ML	3217	Eng	CS	nonsw
A450	BE_05	Block4	Stim32	CSES	0	ML	520	Eng	CS	nonsw
A481	BE_08	Block1	Stim01	CSES	0	ML	579	Eng	CS	nonsw
A482	BE_08	Block1	Stim17	CSES	0	ML	388	Eng	CS	nonsw
A483	BE_08	Block1	Stim02	CSES	0	ML	256	Eng	CS	nonsw
A484	BE_08	Block1	Stim21	CSES	0	ML	257	Eng	CS	nonsw
A485	BE_08	Block1	Stim26	CSES	0	ML	468	Eng	CS	nonsw
A486	BE_08	Block1	Stim27	CSES	0	ML	457	Eng	CS	nonsw
A489	BE_08	Block1	Stim03	CSES	0	ML	544	Eng	CS	nonsw
A490	BE_08	Block1	Stim32	CSES	0	ML	1616	Eng	CS	nonsw
A521	BE_08	Block2	Stim01	CSES	0	ML	1109	Eng	CS	nonsw
A522	BE_08	Block2	Stim17	CSES	0	ML	1597	Eng	CS	nonsw
A523	BE_08	Block2	Stim02	CSES	0	ML	1526	Eng	CS	nonsw
A524	BE_08	Block2	Stim21	CSES	0	ML	2121	Eng	CS	nonsw
A527	BE_08	Block2	Stim28	CSES	0	ML	807	Eng	CS	nonsw
A528	BE_08	Block2	Stim29	CSES	0	ML	460	Eng	CS	nonsw
A529	BE_08	Block2	Stim03	CSES	0	ML	51	Eng	CS	nonsw
A561	BE_08	Block3	Stim01	CSES	0	ML	1415	Eng	CS	nonsw
A562	BE_08	Block3	Stim17	CSES	0	ML	295	Eng	CS	nonsw
A563	BE_08	Block3	Stim02	CSES	0	ML	1619	Eng	CS	nonsw
A564	BE_08	Block3	Stim21	CSES	0	ML	456	Eng	CS	nonsw
A565	BE_08	Block3	Stim26	CSES	0	ML	237	Eng	CS	nonsw
