Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context
A2561	BE_86 	Block1	Stim17	CSES	0	ML	3482	Eng	CS
A2562	BE_86 	Block1	Stim02	CSES	0	ML	1469	Eng	CS
A2563	BE_86 	Block1	Stim21	CSES	0	ML	791	Eng	CS
A2564	BE_86 	Block1	Stim26	CSES	0	ML	1750	Eng	CS
A2565	BE_86 	Block1	Stim27	CSES	0	ML	3192	Eng	CS
A2566	BE_86 	Block1	Stim28	CSES	0	ML	1284	Eng	CS
A2567	BE_86 	Block1	Stim32	CSES	0	ML	1001	Eng	CS
A2568	BE_86 	Block1	Stim01	CSES	1	CS	2446	Eng	CS
A2569	BE_86 	Block1	Stim29	CSES	1	CS	1076	Eng	CS
A2570	BE_86 	Block1	Stim03	CSES	1	CS	3572	Eng	CS
A2601	BE_86 	Block2	Stim01	CSES	0	ML	1009	Eng	CS
A2602	BE_86 	Block2	Stim17	CSES	0	ML	1220	Eng	CS
A2603	BE_86 	Block2	Stim02	CSES	0	ML	3148	Eng	CS
A2604	BE_86 	Block2	Stim26	CSES	0	ML	1715	Eng	CS
A2605	BE_86 	Block2	Stim03	CSES	0	ML	1277	Eng	CS
A2606	BE_86 	Block2	Stim21	CSES	1	CS	591	Eng	CS
A2607	BE_86 	Block2	Stim27	CSES	1	CS	1165	Eng	CS
A2608	BE_86 	Block2	Stim28	CSES	1	CS	1096	Eng	CS
A2609	BE_86 	Block2	Stim29	CSES	1	CS	1622	Eng	CS
A2610	BE_86 	Block2	Stim32	CSES	1	CS	1158	Eng	CS
A2641	BE_86 	Block3	Stim01	CSES	0	ML	864	Eng	CS
A2642	BE_86 	Block3	Stim17	CSES	0	ML	1308	Eng	CS
A2643	BE_86 	Block3	Stim02	CSES	0	ML	1366	Eng	CS
A2644	BE_86 	Block3	Stim21	CSES	0	ML	1388	Eng	CS
A2645	BE_86 	Block3	Stim26	CSES	0	ML	736	Eng	CS
A2646	BE_86 	Block3	Stim32	CSES	0	ML	2439	Eng	CS
A2647	BE_86 	Block3	Stim27	CSES	1	CS	1660	Eng	CS
A2648	BE_86 	Block3	Stim28	CSES	1	CS	296	Eng	CS
A2649	BE_86 	Block3	Stim29	CSES	1	CS	670	Eng	CS
A2650	BE_86 	Block3	Stim03	CSES	1	CS	701	Eng	CS
A2681	BE_86 	Block4	Stim01	CSES	0	ML	1010	Eng	CS
A2682	BE_86 	Block4	Stim32	CSES	0	ML	876	Eng	CS
A2683	BE_86 	Block4	Stim17	CSES	1	CS	1111	Eng	CS
A2684	BE_86 	Block4	Stim02	CSES	1	CS	1260	Eng	CS
A2685	BE_86 	Block4	Stim21	CSES	1	CS	872	Eng	CS
A2686	BE_86 	Block4	Stim26	CSES	1	CS	976	Eng	CS
A2687	BE_86 	Block4	Stim27	CSES	1	CS	320	Eng	CS
