Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A8610	BE_82	Block4	Stim32	CSES	Spanish	z	Spanish	CS	781	Eng	CS
A8641	BE_84 	Block1	Stim01	CSES	Spanish	z	Spanish	CS	1563	Eng	CS
A8684	BE_84 	Block2	Stim21	CSES	Spanish	z	Spanish	CS	1796	Eng	CS
A8685	BE_84 	Block2	Stim26	CSES	Spanish	z	Spanish	CS	5219	Eng	CS
A8690	BE_84 	Block2	Stim32	CSES	Spanish	z	Spanish	CS	1544	Eng	CS
A8722	BE_84 	Block3	Stim17	CSES	Spanish	z	Spanish	CS	660	Eng	CS
A8729	BE_84 	Block3	Stim03	CSES	Spanish	z	Spanish	CS	8514	Eng	CS
A8730	BE_84 	Block3	Stim32	CSES	Spanish	z	Spanish	CS	2178	Eng	CS
A8762	BE_84 	Block4	Stim17	CSES	Spanish	z	Spanish	CS	1170	Eng	CS
A8767	BE_84 	Block4	Stim28	CSES	Spanish	z	Spanish	CS	2198	Eng	CS
A1	BE_03	Block1	Stim01	CSES	English	z	Spanish	ML	1336	Eng	CS
A2	BE_03	Block1	Stim17	CSES	English	z	Spanish	ML	2876	Eng	CS
A4	BE_03	Block1	Stim21	CSES	English	z	Spanish	ML	1714	Eng	CS
A7	BE_03	Block1	Stim28	CSES	English	z	Spanish	ML	6055	Eng	CS
A41	BE_03	Block2	Stim01	CSES	English	z	Spanish	ML	340	Eng	CS
A42	BE_03	Block2	Stim17	CSES	English	z	Spanish	ML	807	Eng	CS
A43	BE_03	Block2	Stim02	CSES	English	z	Spanish	ML	277	Eng	CS
A44	BE_03	Block2	Stim21	CSES	English	z	Spanish	ML	306	Eng	CS
A45	BE_03	Block2	Stim26	CSES	English	z	Spanish	ML	278	Eng	CS
A49	BE_03	Block2	Stim03	CSES	English	z	Spanish	ML	879	Eng	CS
A81	BE_03	Block3	Stim01	CSES	English	z	Spanish	ML	273	Eng	CS
A82	BE_03	Block3	Stim17	CSES	English	z	Spanish	ML	1385	Eng	CS
A83	BE_03	Block3	Stim02	CSES	English	z	Spanish	ML	2445	Eng	CS
A84	BE_03	Block3	Stim21	CSES	English	z	Spanish	ML	1856	Eng	CS
A85	BE_03	Block3	Stim26	CSES	English	z	Spanish	ML	347	Eng	CS
A89	BE_03	Block3	Stim03	CSES	English	z	Spanish	ML	300	Eng	CS
A90	BE_03	Block3	Stim32	CSES	English	z	Spanish	ML	938	Eng	CS
A121	BE_03	Block4	Stim01	CSES	English	z	Spanish	ML	304	Eng	CS
A122	BE_03	Block4	Stim17	CSES	English	z	Spanish	ML	802	Eng	CS
A123	BE_03	Block4	Stim02	CSES	English	z	Spanish	ML	811	Eng	CS
A124	BE_03	Block4	Stim21	CSES	English	z	Spanish	ML	1979	Eng	CS
A125	BE_03	Block4	Stim26	CSES	English	z	Spanish	ML	200	Eng	CS
A127	BE_03	Block4	Stim28	CSES	English	z	Spanish	ML	1244	Eng	CS
A129	BE_03	Block4	Stim03	CSES	English	z	Spanish	ML	301	Eng	CS
A161	BE_04	Block1	Stim01	CSES	English	z	Spanish	ML	718	Eng	CS
A162	BE_04	Block1	Stim17	CSES	English	z	Spanish	ML	483	Eng	CS
A163	BE_04	Block1	Stim02	CSES	English	z	Spanish	ML	595	Eng	CS
A164	BE_04	Block1	Stim21	CSES	English	z	Spanish	ML	656	Eng	CS
A165	BE_04	Block1	Stim26	CSES	English	z	Spanish	ML	1678	Eng	CS
A166	BE_04	Block1	Stim27	CSES	English	z	Spanish	ML	2675	Eng	CS
A167	BE_04	Block1	Stim28	CSES	English	z	Spanish	ML	820	Eng	CS
A168	BE_04	Block1	Stim29	CSES	English	z	Spanish	ML	1090	Eng	CS
A169	BE_04	Block1	Stim03	CSES	English	z	Spanish	ML	620	Eng	CS
A170	BE_04	Block1	Stim32	CSES	English	z	Spanish	ML	553	Eng	CS
A201	BE_04	Block2	Stim01	CSES	English	z	Spanish	ML	368	Eng	CS
A202	BE_04	Block2	Stim17	CSES	English	z	Spanish	ML	1243	Eng	CS
A203	BE_04	Block2	Stim02	CSES	English	z	Spanish	ML	296	Eng	CS
A204	BE_04	Block2	Stim21	CSES	English	z	Spanish	ML	387	Eng	CS
A205	BE_04	Block2	Stim26	CSES	English	z	Spanish	ML	1042	Eng	CS
A206	BE_04	Block2	Stim27	CSES	English	z	Spanish	ML	616	Eng	CS
A207	BE_04	Block2	Stim28	CSES	English	z	Spanish	ML	512	Eng	CS
A208	BE_04	Block2	Stim29	CSES	English	z	Spanish	ML	945	Eng	CS
A209	BE_04	Block2	Stim03	CSES	English	z	Spanish	ML	364	Eng	CS
A210	BE_04	Block2	Stim32	CSES	English	z	Spanish	ML	377	Eng	CS
A241	BE_04	Block3	Stim01	CSES	English	z	Spanish	ML	766	Eng	CS
A242	BE_04	Block3	Stim17	CSES	English	z	Spanish	ML	998	Eng	CS
A243	BE_04	Block3	Stim02	CSES	English	z	Spanish	ML	216	Eng	CS
A244	BE_04	Block3	Stim21	CSES	English	z	Spanish	ML	934	Eng	CS
A245	BE_04	Block3	Stim26	CSES	English	z	Spanish	ML	1647	Eng	CS
A246	BE_04	Block3	Stim27	CSES	English	z	Spanish	ML	969	Eng	CS
A247	BE_04	Block3	Stim28	CSES	English	z	Spanish	ML	1450	Eng	CS
A248	BE_04	Block3	Stim29	CSES	English	z	Spanish	ML	648	Eng	CS
A249	BE_04	Block3	Stim03	CSES	English	z	Spanish	ML	1113	Eng	CS
A250	BE_04	Block3	Stim32	CSES	English	z	Spanish	ML	785	Eng	CS
A281	BE_04	Block4	Stim01	CSES	English	z	Spanish	ML	392	Eng	CS
A282	BE_04	Block4	Stim17	CSES	English	z	Spanish	ML	290	Eng	CS
A283	BE_04	Block4	Stim02	CSES	English	z	Spanish	ML	1263	Eng	CS
A284	BE_04	Block4	Stim21	CSES	English	z	Spanish	ML	270	Eng	CS
A285	BE_04	Block4	Stim26	CSES	English	z	Spanish	ML	1158	Eng	CS
A286	BE_04	Block4	Stim27	CSES	English	z	Spanish	ML	720	Eng	CS
A287	BE_04	Block4	Stim28	CSES	English	z	Spanish	ML	849	Eng	CS
A288	BE_04	Block4	Stim29	CSES	English	z	Spanish	ML	1048	Eng	CS
A289	BE_04	Block4	Stim03	CSES	English	z	Spanish	ML	330	Eng	CS
