Subject	Context	Response	Number	Lg_Heard	Main_Context
BE_37	S	ML	39	Sp	ML
BE_38	S	ML	40	Sp	ML
BE_41	S	ML	35	Sp	ML
BE_43	S	ML	38	Sp	ML
BE_44	S	ML	25	Sp	ML
BE_45	S	ML	37	Sp	ML
BE_46	S	ML	30	Sp	ML
BE_48	S	ML	32	Sp	ML
BE_49	S	ML	28	Sp	ML
BE_52	S	ML	32	Sp	ML
BE_54	S	ML	40	Sp	ML
BE_55	S	ML	34	Sp	ML
BE_56	S	ML	33	Sp	ML
BE_57	S	ML	40	Sp	ML
BE_58	S	ML	34	Sp	ML
BE_60	S	ML	38	Sp	ML
BE_64	S	ML	39	Sp	ML
BE_65	S	ML	24	Sp	ML
BE_66	S	ML	37	Sp	ML
BE_67	S	ML	39	Sp	ML
BE_69	S	ML	40	Sp	ML
BE_70	S	ML	39	Sp	ML
BE_71	S	ML	36	Sp	ML
BE_72	S	ML	32	Sp	ML
BE_74	S	ML	37	Sp	ML
BE_75	S	ML	34	Sp	ML
BE_76	S	ML	40	Sp	ML
BE_77	S	ML	40	Sp	ML
BE_80	S	ML	37	Sp	ML
BE_82	S	ML	35	Sp	ML
BE_84	S	ML	31	Sp	ML
